// Generated using In-game Timecyc Editor 1.8 written by fastman92
// Visit fastman92-site.tk

//////////// EXTRASUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
86 96 110	214 231 255	255 255 255	4 6 8	4 6 9	10 10 0	10 0 0	1 1 1 255 0 255 1700 300 1	0 0 0	14 20 28	55 55 66 240	127 10 10 13	127 10 11 13	155 0 0 0
//5AM
86 94 108	215 229 255	255 255 255	17 18 22	17 18 22	10 10 0	10 0 0	0 1 1 255 0 255 1700 300 1	0 0 0	25 34 43	55 55 66 240	127 16 18 21	127 17 19 22	155 0 0 0
//6AM
93 97 104	218 239 255	255 255 255	115 145 181	180 141 104	63 63 63	0 0 0	0.6 1.1 1 255 0 255 1700 300 0.9	0 0 0	160 160 160	62 72 77 190	62 70 77 89	127 70 80 90	90 120 0 0
//7AM
96 98 102	255 255 255	255 255 255	141 185 239	219 219 212	0 0 0	0 0 0	0.9 0.7 0.5 255 0 255 1700 300 0.8	0 0 0	226 226 226	107 117 122 190	62 51 51 51	127 0 0 0	160 200 0 1
//Midday
113 121 127	255 255 255	255 255 255	133 187 255	218 218 210	10 10 0	0 0 0	1 0.5 0.3 255 0 255 1700 300 0.3	0 0 0	206 206 206	128 128 128 190	62 65 65 65	127 0 0 0	160 200 0 1
//7PM
90 95 102	215 235 255	255 255 255	161 196 237	190 170 147	10 10 0	0 0 0	0.8 1 0.3 255 0 255 1700 300 0.8	0 0 0	127 127 127	123 123 124 190	62 64 64 64	127 0 0 0	120 131 0 0
//8PM
81 84 91	202 231 255	255 255 255	89 114 145	183 143 132	0 0 0	0 0 0	0.5 1.9 0.8 255 0 255 1700 300 1	0 0 0	50 50 50	132 176 189 190	62 40 45 51	127 0 0 0	90 55 0 0
//10PM
73 88 114	190 226 255	255 255 255	24 28 34	27 31 38	0 0 0	0 0 0	1 0.2 0.7 200 100 0 1700 300 1	0 0 0	60 60 60	80 105 144 190	62 18 23 27	127 0 0 0	90 120 0 0
//
//////////// SUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
86 96 110	214 231 255	255 255 255	4 6 8	4 6 9	10 10 0	10 0 0	1 1 1 255 0 255 1700 300 1	0 0 0	14 20 28	55 55 66 240	127 10 10 13	127 10 11 13	155 0 0 0
//5AM
84 93 108	215 229 255	255 255 255	17 18 22	17 18 22	10 10 0	10 0 0	0 1 1 255 0 255 1700 300 1	0 0 0	25 34 43	55 55 66 240	127 16 18 21	127 17 19 22	155 0 0 0
//6AM
